Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0.5413,Sat Feb 24 19:59:04 +0000 2018,0.863,0.0,0.137,"For 27 centuries, Helen of Troy has been one of the most exciting and the most contested of female figures.

She mi… https://t.co/L4tAxYSbXl",1,BBC
-0.4588,Sat Feb 24 19:07:01 +0000 2018,0.842,0.158,0.0,This new targeted treatment is designed to defeat the most common form of leukaemia without chemotherapy. https://t.co/o4qXjnCGhl,2,BBC
-0.2023,Sat Feb 24 18:07:04 +0000 2018,0.904,0.096,0.0,"📺🔮 From @ArrestedDev to @TheSimpsons, these are the strange times TV shows have 'predicted' the future.
👉… https://t.co/wayoksi60x",3,BBC
0.0,Sat Feb 24 17:51:02 +0000 2018,1.0,0.0,0.0,❤️ Meet India's Dr Dolittle who runs an orphanage for wild animals. https://t.co/4XURXwYqHu,4,BBC
0.0,Sat Feb 24 17:50:42 +0000 2018,1.0,0.0,0.0,"RT @BBCOne: “Puberty, periods and pongs!” 

This week’s #CallTheMidwife explores the ups and downs of sex education in the early Sixties. h…",5,BBC
-0.296,Sat Feb 24 16:52:04 +0000 2018,0.727,0.164,0.109,"British actress Emma Chambers, who played Alice in The Vicar of Dibley, has died aged 53. https://t.co/pGyfmD4uTh https://t.co/S5mYiH9RAG",6,BBC
0.0,Sat Feb 24 16:20:09 +0000 2018,1.0,0.0,0.0,"'Should I get plastic surgery before my baby grows up?'
👉 https://t.co/0BCwqeO2by https://t.co/SiviUuZ88u",7,BBC
0.25,Sat Feb 24 15:13:02 +0000 2018,0.905,0.0,0.095,Take a peek behind the scenes of Blade Runner 2049 and see how some of its visual effects were created. https://t.co/N12IZz24Xl,8,BBC
0.0,Sat Feb 24 13:54:12 +0000 2018,1.0,0.0,0.0,"❤️ Saving the orangutans of Sumatra.
👉 https://t.co/5CToziU1Ds https://t.co/M1yd8SAUeH",9,BBC
0.0,Sat Feb 24 13:07:02 +0000 2018,1.0,0.0,0.0,😂🤫 💕 Why does @Camila_Cabello think Blue Ivy shushed @Beyonce &amp; @S_C_ at the Grammys? https://t.co/OncrchDyYV,10,BBC
-0.6428,Sat Feb 24 11:59:01 +0000 2018,0.712,0.288,0.0,"😂 When you're obsessed with #Pyeongchang2018 but have NO idea what the rules are... 

#TheMashReport https://t.co/692EjTQz9n",11,BBC
0.9523,Sat Feb 24 10:47:04 +0000 2018,0.392,0.0,0.608,What a jump! 🏂🥉🇬🇧@billymorgan89's bronze medal win has secured Great Britain their highest medal tally in… https://t.co/IJE2yOCUbT,12,BBC
-0.34,Sat Feb 24 10:33:01 +0000 2018,0.789,0.211,0.0,😂🙈 Why bother thinking when you can just speak...  https://t.co/ef0wpE2SlT,13,BBC
-0.296,Sat Feb 24 10:31:38 +0000 2018,0.901,0.099,0.0,"RT @BBCSport: Two golds.
Two sports.
Same Olympics.

Ester Ledecka has done what no woman has ever done before.

https://t.co/EwuJoThGfB ht…",14,BBC
0.8309,Sat Feb 24 09:57:16 +0000 2018,0.709,0.0,0.291,"RT @BBCSport: Wow! @TeamGB have made history, winning five medals (so far!) at #Pyeongchang2018

Dom Parsons #Bronze
Lizzy Yarnold #Gold
La…",15,BBC
0.0,Sat Feb 24 09:57:04 +0000 2018,1.0,0.0,0.0,"RT @BBCSport: ⚡️ “Billy Morgan makes Winter Olympics history for GB 🇬🇧🙌”

https://t.co/ut23mdtcT4  #Pyeongchang2018 #bbcolympics",16,BBC
0.2263,Sat Feb 24 09:56:58 +0000 2018,0.541,0.212,0.247,"RT @BBCMOTD: Bobby Moore.

A true legend.
A hero to many.

He died 25 years ago today.

Never forgotten. https://t.co/8O1OZ09bPv",17,BBC
-0.1531,Sat Feb 24 09:53:01 +0000 2018,0.882,0.118,0.0,🎨✊ Meet the 91-year-old rebel artist who was told he was unteachable. https://t.co/eDvsObpcPp,18,BBC
0.8779,Sat Feb 24 08:58:04 +0000 2018,0.563,0.0,0.437,"Are you throwing a kids party? 

🍉🦈 Impress the guests with this amazing Watermelon Shark.
👉 https://t.co/NYdJfGYyf1 https://t.co/owKML19gu1",19,BBC
0.0,Sat Feb 24 08:08:02 +0000 2018,1.0,0.0,0.0,❤️🐼❄️ Giant pandas doing roly-polys in the snow is our new favourite thing. https://t.co/j8IvmIFE0W,20,BBC
0.5719,Fri Feb 23 20:00:01 +0000 2018,0.73,0.0,0.27,"😂🥁 @RebelWilson totally smashed her Pitch Perfect audition.

#TheGNShow | @BBCOne https://t.co/hALWpwa8Ee",21,BBC
-0.6249,Fri Feb 23 18:58:02 +0000 2018,0.745,0.255,0.0,"😲🇬🇧✈️ It's official... Brits are the worst tourists in the world. 

#QI https://t.co/jRMSwdrHua",22,BBC
-0.6249,Fri Feb 23 17:57:02 +0000 2018,0.594,0.406,0.0,😂 Are these the world's worst burglars? https://t.co/Q54ZcDeBOO,23,BBC
0.0,Fri Feb 23 16:58:03 +0000 2018,1.0,0.0,0.0,"🤖🎿 Skiing robots got their own #WinterOlympics and stole the show.
👉 https://t.co/jBk5yQq68r

#PyeongChang2018 https://t.co/A4kVFCKhj1",24,BBC
0.729,Fri Feb 23 16:38:03 +0000 2018,0.553,0.115,0.333,"🍷 GREAT NEWS EVERYONE!
Red wine compounds 'could help tooth decay and gum disease fight'.
👉 https://t.co/R5u7lrkhgx https://t.co/NXKpa7kpek",25,BBC
0.128,Fri Feb 23 16:04:06 +0000 2018,0.88,0.0,0.12,"That feeling when you've finally made it to the weekend.
#FridayFeeling https://t.co/89HWcd14Kt",26,BBC
-0.4588,Fri Feb 23 15:03:03 +0000 2018,0.842,0.158,0.0,Environment Secretary Michael Gove has suggested that plastic straws could be banned in Britain. ♻️ 🌎… https://t.co/JABNzulV8G,27,BBC
0.0516,Fri Feb 23 14:20:35 +0000 2018,0.946,0.0,0.054,"RT @BBCFOUR: ✨ The Old Grey Whistle Test returns for one night only. #OGWT

✨ Live from Television Centre on Friday from 9pm. https://t.co/…",28,BBC
0.0,Fri Feb 23 14:00:01 +0000 2018,1.0,0.0,0.0,"'It really hit me how young she was when that tape was made.'

The #Unpopped podcast investigates @ParisHilton and… https://t.co/fxrAStzh55",29,BBC
0.3182,Fri Feb 23 13:26:02 +0000 2018,0.897,0.0,0.103,🍩🍕 New research suggests that a 10% rise of ultra-processed foods in your diet is linked to a 12% increase in risk… https://t.co/MU1GoUV3mG,30,BBC
0.4939,Fri Feb 23 12:42:03 +0000 2018,0.833,0.0,0.167,"""It all seemed to go pretty well."" ❤️️Stephen Fry is recovering from surgery for prostate cancer.… https://t.co/SLQGe7n8AK",31,BBC
0.5859,Fri Feb 23 12:26:55 +0000 2018,0.758,0.0,0.242,"Explore humanity's desire to create.

#Civilisations. Starts on 1st March at 9pm on @BBCTwo. Presented by… https://t.co/Uq5Cos1N8F",32,BBC
-0.7334,Fri Feb 23 12:00:07 +0000 2018,0.66,0.34,0.0,"Loneliness has been called a modern epidemic. 

But is it really getting worse?
👉 https://t.co/yFjaaPJhBr https://t.co/sZpQckgOF3",33,BBC
0.7713,Fri Feb 23 10:00:08 +0000 2018,0.705,0.0,0.295,"🌊📸 The winning pictures from the 2018 Underwater Photographer of the Year comp are absolutely breathtaking. 
👉… https://t.co/MN5B9pG7cX",34,BBC
-0.6908,Fri Feb 23 09:45:15 +0000 2018,0.773,0.227,0.0,"RT @BBCTwo: ""Some people would kill to be famous.""

#ACSVersace starts Wednesday 28 February, 9pm, @BBCTwo. https://t.co/adysWbtlz9",35,BBC
0.8208,Fri Feb 23 09:41:41 +0000 2018,0.704,0.0,0.296,"RT @BBCR1: SUPER COLLAB ALERT 😱😭🌹

@troyesivan revealed to @grimmers that he's got @ArianaGrande on the new album. 

H U G E ♥️ https://t.c…",36,BBC
-0.4159,Fri Feb 23 09:41:33 +0000 2018,0.651,0.231,0.118,"RT @BBCSport: Cow 1-0 goalkeeper.

The most bizarre injury?

A Scottish Championship club is facing a selection headache after its reserve…",37,BBC
-0.296,Fri Feb 23 09:41:19 +0000 2018,0.905,0.095,0.0,RT @bbcweather: The Met Office has issued the first #snow warnings for parts of the UK next week. Details here: https://t.co/Tki9Pm7rGx #Br…,38,BBC
0.0,Fri Feb 23 09:00:13 +0000 2018,1.0,0.0,0.0,"Canada's Lake Abraham is an ethereal landscape of frozen bubbles.
👉 https://t.co/4A4j7nyhig

@BBC_Travel https://t.co/wKHw7t8DMo",39,BBC
0.7579,Fri Feb 23 08:40:03 +0000 2018,0.683,0.0,0.317,"👏❤️ Stunning.

#CirqueDuSoleil opened the #BAFTAs this week with a beautiful tribute to the film #TheShapeOfWater. https://t.co/N3kQV3L1nx",40,BBC
0.0,Fri Feb 23 08:00:07 +0000 2018,1.0,0.0,0.0,"🙅📱 Thinking about quitting social media? 

These people have... https://t.co/i9oReu3Xeb",41,BBC
-0.5106,Thu Feb 22 19:00:09 +0000 2018,0.752,0.248,0.0,😬 Anyone with kids should be able to feel the pain. https://t.co/50B99vhOyj,42,BBC
0.659,Thu Feb 22 18:04:02 +0000 2018,0.672,0.0,0.328,"😱🐍 @MargotRobbie painting a really great picture of Australia. 
#TheGNShow https://t.co/8ZHmiRz1wd",43,BBC
0.0,Thu Feb 22 17:03:04 +0000 2018,1.0,0.0,0.0,"😁 Do you wet your toothbrush, or put  toothpaste on first?

The debate about toothbrushes that's tearing the intern… https://t.co/qeq7zTiRQo",44,BBC
-0.4019,Thu Feb 22 16:46:09 +0000 2018,0.847,0.153,0.0,RT @BBCTwo: A shocking 93% of home workers are being sexually harassed... by themselves. #TheMashReport @EllieJaneTaylor https://t.co/yA0B0…,45,BBC
0.0,Thu Feb 22 16:10:04 +0000 2018,1.0,0.0,0.0,🙌🏂 Still shredding at 78. https://t.co/FEsoVXg1FY,46,BBC
0.1531,Thu Feb 22 15:27:45 +0000 2018,0.769,0.099,0.132,RT @BBCOne: Excited about the return of #Strike? @jk_rowling gives us the lowdown on #CareerOfEvil. https://t.co/ZS4f4pRZSf,47,BBC
0.3182,Thu Feb 22 14:00:06 +0000 2018,0.881,0.0,0.119,"❤️🐧 'A man needs his 'guins'.

@Stranger_Things actor @DavidKHarbour has kept his promise by dancing with penguins… https://t.co/MbiF8vga4K",48,BBC
-0.3885,Thu Feb 22 13:00:02 +0000 2018,0.752,0.248,0.0,"😢 The #AllTogetherNow performance that had everyone in TEARS. 
 https://t.co/brsSWg1iyI",49,BBC
-0.1027,Thu Feb 22 12:29:04 +0000 2018,0.931,0.069,0.0,"If your New Year’s resolutions have already fizzled out, maybe you’ve been too hard on yourself.

Here's how cheati… https://t.co/aAEvrFCZII",50,BBC
0.5707,Thu Feb 22 11:56:03 +0000 2018,0.83,0.0,0.17,"😷😬🍫'I’ve always wanted my wisdom teeth out because you get two weeks in bed!'

@Camila_Cabello talked toothache on… https://t.co/J6os8eTWXi",51,BBC
-0.1531,Thu Feb 22 11:43:31 +0000 2018,0.918,0.082,0.0,🙌 Watch the incredible moment a child falling from the third floor of a building is caught by a policeman in Egypt. https://t.co/jiwGVDyNg0,52,BBC
-0.1154,Thu Feb 22 11:03:04 +0000 2018,0.673,0.172,0.155,"🙌✨🎶@Stormzy1 and @DUALIPA both took home two trophies last night, but these are the real winners and losers of… https://t.co/75JIHThhxn",53,BBC
0.7964,Thu Feb 22 09:00:03 +0000 2018,0.693,0.0,0.307,🐼❄️ Watching giant pandas performing roly-polys in the snow is the best way to brighten your morning. https://t.co/j8IvmIFE0W,54,BBC
0.0516,Thu Feb 22 08:30:10 +0000 2018,0.699,0.145,0.156,"Could plant-based alternatives and better recycling provide an answer to our plastic problem?
👉… https://t.co/gXi7DypVzE",55,BBC
-0.4215,Thu Feb 22 08:00:05 +0000 2018,0.664,0.223,0.113,"After losing his legs in a racing accident, 18-year-old Billy describes how his supporters helped him keep his F1 d… https://t.co/K57Z9X5k1m",56,BBC
0.0,Wed Feb 21 20:52:47 +0000 2018,1.0,0.0,0.0,"RT @BBCR1: YESSSS @Stormzy1! 🏆✨

Your #BRITs2018 British Male Solo Artist has just been crowned and he can't quite believe it ❤️👑 https://t…",57,BBC
-0.2263,Wed Feb 21 19:31:01 +0000 2018,0.653,0.196,0.151,"🚘💀 Welcome to Old Car City in Georgia, US, where cars come to die. https://t.co/MvD44MxOYh",58,BBC
0.0,Wed Feb 21 19:00:05 +0000 2018,1.0,0.0,0.0,"🐼😍 New career goal!

#QI https://t.co/LKhEyNOgAJ",59,BBC
-0.4404,Wed Feb 21 18:16:03 +0000 2018,0.868,0.132,0.0,"In 2017, Arkansas executed four condemned men ahead of the expiry of a batch of lethal injection drugs. 

Now with… https://t.co/7Dg31YWwX9",60,BBC
-0.4588,Wed Feb 21 17:55:11 +0000 2018,0.857,0.143,0.0,RT @bbcmusic: Rumours rife @LiamGallagher will perform at tonight's #BRITS2018 after @ArianaGrande has been forced to pull-out tonight unde…,61,BBC
0.5411,Wed Feb 21 17:27:01 +0000 2018,0.734,0.066,0.201,"🇬🇧🎶The biggest night in British music is here! 🎤✨

For all the red carpet gossip, winners news and top talking poin… https://t.co/MDoKdtQ1GP",62,BBC
-0.3612,Wed Feb 21 16:51:02 +0000 2018,0.706,0.294,0.0,Is this the world's riskiest dinner? https://t.co/VuWxMxhNXX,63,BBC
0.7463,Wed Feb 21 15:03:04 +0000 2018,0.797,0.0,0.203,"We're only two months into 2018, but Daniel Kaluuya already has a lot to celebrate! 🏆🎭✨

Here's how the actor has g… https://t.co/qEAoJlIoLA",64,BBC
-0.296,Wed Feb 21 14:33:04 +0000 2018,0.905,0.095,0.0,"😧☕️ A cracked teapot with a missing lid which was bought for just £15 has been sold to a New York museum for £460,0… https://t.co/J0sXNmVIxJ",65,BBC
0.6369,Wed Feb 21 13:30:09 +0000 2018,0.625,0.0,0.375,"😂📸👏 Best. Shot. Ever. 

#PyeongChang2018 via @BBCSport https://t.co/P7fAbtY9nV",66,BBC
0.0,Wed Feb 21 13:00:08 +0000 2018,1.0,0.0,0.0,😂🎶 Can't believe @SelenaGomez can still remember the lyrics to her Barney the Dinosaur duet! https://t.co/tQQPLPYTki,67,BBC
0.6369,Wed Feb 21 12:31:03 +0000 2018,0.833,0.0,0.167,"🏳️‍🌈 A memorial is being held for LGBT icon, Thomas the goose, who spent many years in a love triangle with two swa… https://t.co/hx4nosxCvN",68,BBC
0.0,Wed Feb 21 11:56:36 +0000 2018,1.0,0.0,0.0,🗣 @BBCweather's @OwainWynEvans gives a forecast with a difference for #InternationalMotherLanguageDay! https://t.co/kjMXtQUB2P,69,BBC
0.3612,Wed Feb 21 11:51:19 +0000 2018,0.848,0.0,0.152,RT @BBCTwo: Hands up if you've ever worked with someone JUST like this... 😂 #TheMashReport https://t.co/ES0dZJWUXk,70,BBC
0.658,Wed Feb 21 11:39:53 +0000 2018,0.785,0.0,0.215,RT @cbbc: This week on @GWITCBBC it's a @LittleMix takeover!! Check out the amazing Rio 💛 @laurenplatt7 @JaymiUJWorld https://t.co/dVC4ANBP…,71,BBC
0.0,Wed Feb 21 11:23:39 +0000 2018,1.0,0.0,0.0,"RT @BBCR1: Just imagine if we'd managed to get @ZaraLarsson, @MOMOMOYOUTH, @almacyber and @charli_xcx to collab on @DUALIPA's #IDGAF in the…",72,BBC
0.6542,Wed Feb 21 11:13:41 +0000 2018,0.692,0.0,0.308,"RT @bbccomedy: ""I just like stilettos, I'm not a bad person."" - Two Doors outtakes 😂 https://t.co/SAAMriBeIL",73,BBC
0.0,Wed Feb 21 10:25:04 +0000 2018,1.0,0.0,0.0,RT @BBCNWT: From four bikes to 300...this group in Manchester is trying to make cycling accessible for all. 🚴 https://t.co/lH317u5Hlc,74,BBC
0.0,Wed Feb 21 10:15:06 +0000 2018,1.0,0.0,0.0,"New Doctor, New Series, New Logo 
#DoctorWho https://t.co/nu1P8f1Naq",75,BBC
0.0,Wed Feb 21 10:04:43 +0000 2018,1.0,0.0,0.0,👑💅 The Queen has appeared alongside fashion royalty in the famous front row at @LondonFashionWk for the first time.… https://t.co/dSIqTNvUh1,76,BBC
0.5859,Wed Feb 21 09:00:04 +0000 2018,0.725,0.0,0.275,"1 man. 25 languages.

👏 Richard is a hyperpolyglot, and he's amazing. 
#InternationalMotherLanguageDay https://t.co/cYjy30yHcV",77,BBC
0.3818,Wed Feb 21 08:49:02 +0000 2018,0.843,0.0,0.157,"RT @BBCiPlayer: .@KenrickH2o transforms street dance into jaw-dropping theatrical experiences.
Stunning 👏🏾  🔥 
#DarceyBussellsNewDance on B…",78,BBC
-0.4201,Wed Feb 21 08:30:04 +0000 2018,0.892,0.108,0.0,"'I took my wife's name - and then the hassle began'.

Two men explain how it turned out to be way more difficult th… https://t.co/MlV5sL2CbC",79,BBC
0.0,Wed Feb 21 08:00:04 +0000 2018,1.0,0.0,0.0,"Ahead of tonight's ceremony, here are five things you might not know about the @BRITs. https://t.co/QvJ2wVwfXs",80,BBC
0.0,Tue Feb 20 21:25:52 +0000 2018,1.0,0.0,0.0,"RT @bbcdoctorwho: New Doctor, New Series, New Logo 
#DoctorWho https://t.co/qpXoEcvFHv",81,BBC
0.0,Tue Feb 20 21:03:03 +0000 2018,1.0,0.0,0.0,It's Cathy's 60th birthday and the family are going for lunch... BAFTA-winning family sitcom #Mum returns tonight.… https://t.co/pmKbroOLNF,82,BBC
0.3612,Tue Feb 20 20:04:02 +0000 2018,0.872,0.0,0.128,"According to @JohnCleese, his new character in the sitcom #HoldTheSunset is just like him in real life. https://t.co/mo39ZqS4C0",83,BBC
-0.126,Tue Feb 20 19:00:05 +0000 2018,0.824,0.176,0.0,❤️🐦 This murmuration will leave you mesmerised! https://t.co/Bvb1B5nEQj,84,BBC
-0.128,Tue Feb 20 18:02:03 +0000 2018,0.933,0.067,0.0,"Got a bag of frozen peas lurking at the back of the freezer? 
Here are 7 things you can do with them.
👉… https://t.co/KATIhOTxQz",85,BBC
0.0,Tue Feb 20 17:30:07 +0000 2018,1.0,0.0,0.0,💕 @DUALIPA took on @ArcticMonkeys' 'Do I Wanna Know?' in the Live Lounge and we still haven't quite recovered. https://t.co/tzErjOsTu2,86,BBC
-0.34,Tue Feb 20 17:28:15 +0000 2018,0.806,0.194,0.0,RT @bbccomedy: Why bother thinking when you can just speak... 🙈 https://t.co/xTiVZI6Haw,87,BBC
0.6369,Tue Feb 20 16:58:04 +0000 2018,0.781,0.0,0.219,"🎶💕 From @machinegunkelly and @Camila_Cabello to @CraigDavid and @bastilledan...

🎤🎧 7 of the best collaborations fr… https://t.co/X3KPB5mIU5",88,BBC
0.3612,Tue Feb 20 16:54:08 +0000 2018,0.8,0.0,0.2,RT @BBCNewsround: .@Elise_Christie wants to thank her young fans 💜  #PyeongChang2018 https://t.co/0gMwuDGYpq,89,BBC
0.6988,Tue Feb 20 16:34:15 +0000 2018,0.734,0.0,0.266,"RT @mixital: 👰New #DoctorWho #fanfic challenge!👰
Write a story featuring Donna Noble!

Share it with us here: https://t.co/zW42ZnvJnc
#donn…",90,BBC
0.6939,Tue Feb 20 14:38:02 +0000 2018,0.624,0.111,0.266,"RT @BBCSport: The greatest ""will they, won't they"" love story ever told... in Canada? 💕

People are loving the chemistry between Tessa Virt…",91,BBC
0.0,Tue Feb 20 13:31:04 +0000 2018,1.0,0.0,0.0,"🐮➡️🏝 A runaway cow has escaped from a slaughterhouse to live on an island. 
👉https://t.co/m1IGqofoHk https://t.co/qZWIdCQiIO",92,BBC
0.0772,Tue Feb 20 13:02:02 +0000 2018,0.751,0.116,0.133,Could #VanLife be the solution to high house prices and a shortage of rental properties? https://t.co/M5iK1KcylX,93,BBC
0.0,Tue Feb 20 12:32:04 +0000 2018,1.0,0.0,0.0,"🎨 Revealing your favourite works of art by women.
👉 https://t.co/uc7Z0rHaB3 https://t.co/yzhl4SaLXg",94,BBC
-0.6124,Tue Feb 20 12:00:14 +0000 2018,0.81,0.19,0.0,"😭💔 From @EdSheeran's Supermarket Flowers to @MileyCyrus' Wrecking Ball, here are seven of the saddest real-life sto… https://t.co/gjsO5bIXCw",95,BBC
0.0,Tue Feb 20 11:49:56 +0000 2018,1.0,0.0,0.0,"RT @bbcmusic: 🙌@LiamPayne is going to be joining @RitaOra on stage at tomorrow nights @BRITs 😍
👉https://t.co/VLEhSt94wM https://t.co/Cz8GAv…",96,BBC
0.0,Tue Feb 20 11:03:04 +0000 2018,1.0,0.0,0.0,"RT @BBCSport: ""It just wasn't meant to be.""

We feel for you, Elise Christie.

#pyeongchang2018 #bbcolympics https://t.co/Fra5m09ajZ",97,BBC
-0.4215,Tue Feb 20 10:48:04 +0000 2018,0.859,0.141,0.0,"🇬🇧⛸ Elise Christie has been disqualified after a dramatic 1000m heat at the #WinterOlympics. 

@BBCSport has the la… https://t.co/EVnPcmFlpI",98,BBC
0.3182,Tue Feb 20 10:39:17 +0000 2018,0.881,0.0,0.119,"RT @BBC_Teach: 🚨 #500Words deadline approaching 🚨

Know any budding writers thinking of entering @BBCRadio2's competition? Make sure they g…",99,BBC
-0.296,Tue Feb 20 10:31:56 +0000 2018,0.885,0.115,0.0,RT @BBCTwo: Missed #Collateral last night? Here's everything you need to know about our gripping new drama... https://t.co/Vqh2eRtlVE,100,BBC
0.5093,Fri Feb 23 18:15:40 +0000 2018,0.845,0.0,0.155,RT @thegoodfight: This is our new favorite thing. Christine Baranski debuted #TheGoodFight the Musical on @colbertlateshow last night! 🎵🎤…,1,CBS
0.0,Thu Feb 22 19:26:52 +0000 2018,1.0,0.0,0.0,"RT @LivinBiblically: Confession time: have YOU ever hit the ""close door"" button in an elevator while somebody was approaching? The cast of…",2,CBS
0.0,Wed Feb 21 19:20:04 +0000 2018,1.0,0.0,0.0,RT @CBSEyeSpeak: Mark your calendars! #CBSEyeSpeak kicks off March 14 with The EYE Speak Summit. Follow our page for more details! https://…,3,CBS
0.6808,Wed Feb 21 18:19:25 +0000 2018,0.752,0.0,0.248,"RT @CBSEyeSpeak: Proud to announce a new CBS initiative, promoting female empowerment and developing the next generation of leaders through…",4,CBS
0.4404,Tue Feb 20 19:55:19 +0000 2018,0.884,0.0,0.116,"RT @LivinBiblically: When you're living by the Bible, it's good to have a priest and a rabbi on call (provided they answer their phones, th…",5,CBS
-0.4019,Tue Feb 20 17:58:18 +0000 2018,0.881,0.119,0.0,"RT @thegoodfight: Chicago lawyers are being hunted and the world is going insane. 

The new season of #TheGoodFight premieres Sunday, March…",6,CBS
0.3612,Tue Feb 20 17:39:51 +0000 2018,0.872,0.0,0.128,Ready for some larger than life competition? This new series from @MarkBurnettTV will premiere in summer 2018.… https://t.co/gDXHLdIJ5v,7,CBS
0.6124,Sat Feb 17 01:07:20 +0000 2018,0.773,0.0,0.227,"With tournament dreams on the line, make sure to stream these college basketball matchups on CBS All Access:… https://t.co/SGkYUZrQWB",8,CBS
0.3182,Fri Feb 16 18:42:43 +0000 2018,0.892,0.0,0.108,"RT @LivinBiblically: While Chip's sticking to the Bible's original rules, the cast of #LivingBiblically has given them a more modern makeov…",9,CBS
0.68,Fri Feb 16 17:48:20 +0000 2018,0.752,0.0,0.248,"Casting News! Peter Mark Kendall, Michael Gaston, Greg Wise, Rade Šerbedžija, Zack Pearlman, and Keye Chen join the… https://t.co/GFob2KrD8H",10,CBS
0.8619,Wed Feb 14 19:23:27 +0000 2018,0.534,0.0,0.466,RT @BullCBS: The verdict is in...#Bull is the perfect Valentine! ❤️ Happy #ValentinesDay! https://t.co/poEejI4AnC,11,CBS
0.0,Tue Feb 13 20:03:56 +0000 2018,1.0,0.0,0.0,"RT @NoActivityCBS: Car 27 reporting: Season 2 of #NoActivity coming soon!

Binge season one now on CBS All Access: https://t.co/yvxoQMeyhN…",12,CBS
0.7506,Tue Feb 13 18:54:52 +0000 2018,0.748,0.0,0.252,"RT @LivinBiblically: Against all odds (and the advice of his God Squad), Chip is determined to live life by the Good Book. Think you could…",13,CBS
0.0,Mon Feb 12 18:49:45 +0000 2018,1.0,0.0,0.0,RT @thegoodfight: Christine Baranski reflects upon the spectacular metamorphosis of her character in #TheGoodFight's first season. Revisit…,14,CBS
0.0,Mon Feb 12 01:32:33 +0000 2018,1.0,0.0,0.0,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All 15 episodes now streaming on CBS All Access: https://t.co/lKLaptP…,15,CBS
0.8478,Fri Feb 09 00:50:01 +0000 2018,0.696,0.0,0.304,RT @SuperiorDonuts: Looking for a #Valentine? Tush is here to help you land your dream date just in time for the day of love! #SuperiorDonu…,16,CBS
-0.5859,Thu Feb 08 16:09:35 +0000 2018,0.814,0.186,0.0,RT @CBSBigBrother: The pressure is on as the Houseguests battle each other for victory in the first HOH competition. Stream the season prem…,17,CBS
0.0516,Wed Feb 07 18:35:19 +0000 2018,0.934,0.0,0.066,"RT @startrekcbs: Sunday, this season's epic journey reaches its final reckoning. Catch up before the season finale: https://t.co/4Ea5wpmAep…",18,CBS
0.5574,Wed Feb 07 16:17:48 +0000 2018,0.536,0.152,0.312,"Are you a sucker for jaw-dropping talent competitions? Announcing The World's Best, a first-of-its-kind new global… https://t.co/fagCMklm2Z",19,CBS
0.0,Tue Feb 06 22:21:39 +0000 2018,1.0,0.0,0.0,"RT @BullCBS: Tonight, one of these 3 TAC employees will end up incarcerated. Who do you think it will be? Tune into a new episode of #Bull…",20,CBS
0.0772,Tue Feb 06 17:05:49 +0000 2018,0.773,0.106,0.121,"RT @thegoodfight: There's no season like lawyer season. #TheGoodFight returns March 4, exclusively on CBS All Access. https://t.co/XAlrg1nB…",21,CBS
0.0,Sun Feb 04 15:35:36 +0000 2018,1.0,0.0,0.0,"RT @thegoodfight: The acclaimed series returns in 1 month. #TheGoodFight is back Sunday, March 4. https://t.co/5BNLTYRd8p https://t.co/yInP…",22,CBS
0.1531,Sun Feb 04 12:00:01 +0000 2018,0.882,0.0,0.118,".@KeshaRose's emotional performance with @CyndiLauper, @AndraDayMusic, @BebeRexha and @Camila_Cabello brought the a… https://t.co/qpgS2e9ir0",23,CBS
0.0,Sat Feb 03 23:11:43 +0000 2018,1.0,0.0,0.0,Broadway legend Patti LuPone paid tribute to Sir Andrew Lloyd Webber with a show-stopping rendition of the iconic s… https://t.co/GxqLtUzhFP,24,CBS
0.8268,Sat Feb 03 12:00:07 +0000 2018,0.662,0.0,0.338,"Relive an entire night's worth of big wins, live performances and many more inspiring moments from The 60th Annual… https://t.co/CH7mJ4Y3QT",25,CBS
